100,"It is the possibility to make our dreams","come true that makes life thrilling.",,,,,,,,
101,"Imagine that we are in a magical theatre","where thoughts of time and space can travel.",,,,,,,,
102,"A box of magic with papier-mache consoles,","plaster columns and painted ceiling roses",,,,,,,,
103,"with shadows that make us believe","we are in a hall of gold and marble.",,,,,,,,
104,"","Nothing is what it seems.",,,,,,,,
105,"Below the stage, a gigantic loom stands","always ready to create new patterns and habitats.",,,,,,,,
106,"The rolling thunder is the sound","of stones tumbling around inside a barrel.",,,,,,,,
107,"","The waves are hand-driven cylinders.",,,,,,,,
108,"","We can call it a waiting room.",,,,,,,,
109,"We need workshops, administration,","libraries, all sciences and arts.",,,,,,,,
110,"With the help of alchemy we can","recreate mankind in its purest form.",,,,,,,,
111,"","",,,,,,,,
112,"No longer shall man feel","the burden of his toils,",,,,,,,,
113,"with strength of arms plough the fields","or stormy seas for futile gain,",,,,,,,,
114,"but see flowers of gold blazing","by the sea shore, fragrantly,",,,,,,,,
115,"from splendid tall trees","or the depths of the well.",,,,,,,,
116,"Towards the sky,","where Zeus' bird is soaring,",,,,,,,,
117,"towards the goal","aim your life's bow.",,,,,,,,
118,"Become who you are,","and the home of gods awaits you.",,,,,,,,
119,"Behind the temple walls of king Nebuchadnezzar,","at the mighty tower of Baal,",,,,,,,,
120,"Semiramis is waiting","on the eighth level.",,,,,,,,
121,"","Down below man seems ant-like.",,,,,,,,
122,"","",,,,,,,,
123,"We sense cosmic spasms,","trials of strength between peoples.",,,,,,,,
124,"Clashes between human ants","of all colours and religions",,,,,,,,
125,"where the flower of culture","has bloomed",,,,,,,,
126,"only to be suddenly snapped,","extinguished and trampled underfoot.",,,,,,,,
127,"","",,,,,,,,
128,"In the quiet dwelling behind 'Little China'","from the bosom of the rock gold I wrest.",,,,,,,,
129,"Hard is your heart","as the weathered stone.",,,,,,,,
130,"Virtue's noble treasures there are grown","until that tryst upon the day of test,",,,,,,,,
131,"when stars and planets","from th'heavens dive",,,,,,,,
132,"to seek earth's gold in fire","I then shall strive.",,,,,,,,
133,"","",,,,,,,,
134,"Fierce Furies from the horrid abyss,","spew over me your black venom!",,,,,,,,
135,"","",,,,,,,,
136,"May the earth crumble","and the sun be eclipsed",,,,,,,,
137,"by the wrath","that fills my breast!",,,,,,,,
138,"","",,,,,,,,
139,"This is the powder","that turns into gold.",,,,,,,,
140,"It has the scarlet colour","of the winged lion,",,,,,,,,
141,"the pure and Tyrian crimson,","like the hue of a truly red pomegranate.",,,,,,,,
142,"A colour whose radiant","and dusky sheen",,,,,,,,
143,"seems to let mankind be part","of something beyond heaven.",,,,,,,,
144,"An elixir of life prepared","from the very roots of all things.",,,,,,,,
145,"","",,,,,,,,
146,"What good is your knowledge","if you do not know yourself?",,,,,,,,
147,"Why seek the truth","in the heavenly expanses",,,,,,,,
148,"as a pretext","to avoid philosophising?",,,,,,,,
149,"Knowledge does not only","make the brain grow.",,,,,,,,
150,"The volcano awakens and its sulphur","penetrates the metal sheath's soft mercury.",,,,,,,,
151,"This hot flame then smelts together","into an androgynous being",,,,,,,,
152,"whose sweaty cinnabar skin","secretes crystals of salt.",,,,,,,,
153,"I am a coryphaeus,","a star dancer in God's honour.",,,,,,,,
154,"For I was at some time a boy","and a girl, a tree and a bird,",,,,,,,,
155,"","and a mute fish in the sea.",,,,,,,,
156,"","",,,,,,,,
157,"","Look at the sword!",,,,,,,,
158,"","The point has turned to gold!",,,,,,,,
159,"","",,,,,,,,
160,"","We perceive but fragments of life",,,,,,,,
161,"before we whirl away","like smoke at approaching death.",,,,,,,,
162,"The night is the horizon","of the spheres",,,,,,,,
163,"and I am getting closer","to the prism of light.",,,,,,,,
164,"To the elements whence it came,","everything shall return.",,,,,,,,
165,"Our bodies to earth, our blood to water,","our heat to fire and our breathing to air.",,,,,,,,
166,"","One day, so shall I.",,,,,,,,
167,"","",,,,,,,,
168,"Long years ago, as now,","I heard the nightingale.",,,,,,,,
169,"Its song was truly sweet;","then, we were together.",,,,,,,,
170,"I sing and cannot weep,","and thus, alone, I spin",,,,,,,,
171,"the threads so bright and clean","as long as the moon shines.",,,,,,,,
172,"And when we were together,","then sang the nightingale.",,,,,,,,
173,"Now her song reminds me","that you are gone from me.",,,,,,,,
174,"","",,,,,,,,
175,"Whenever the moon shines,","I think of you alone.",,,,,,,,
176,"My heart is bright and clean,","God grant we be united!",,,,,,,,
177,"Since you have gone from me,","the nightingale always sings.",,,,,,,,
178,"Her song makes me think","of how we were together.",,,,,,,,
179,"God grant we be united","where, so alone, I spin.",,,,,,,,
180,"The moon shines bright and clean,","I sing, and feel like weeping.",,,,,,,,
181,"","",,,,,,,,
182,"The spider can commence","its embalming act,",,,,,,,,
183,"I am numbed","by my own aether.",,,,,,,,
184,"My attire is dyed with purple","from the snail's mantle.",,,,,,,,
185,"You four elements","are the basis of my pyramid.",,,,,,,,
186,"","The music in my ear.",,,,,,,,
187,"In the triangle","I see nature's bosom.",,,,,,,,
188,"","",,,,,,,,
189,"Green meadows, pleasant forests,","all your beauty will decay.",,,,,,,,
190,"","",,,,,,,,
191,"Flowers fair,","streams clear and purling,",,,,,,,,
192,"your loveliness","oh, so soon will fade away.",,,,,,,,
193,"","",,,,,,,,
194,"And, transformed","each cherished object,",,,,,,,,
195,"to its former horrid appearance","all is destined to return one day.",,,,,,,,
